indice_tiempo;idempresa;cuit;empresa;direccion;localidad;provincia;region;idproducto;producto;idtipohorario;tipohorario;precio;fecha_vigencia;idempresabandera;empresabandera;latitud;longitud;geojson
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;645;21/2/2024 11:33;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;19;Gas Oil Grado 2;2;Diurno;850;7/2/2024 13:15;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;19;Gas Oil Grado 2;3;Nocturno;850;7/2/2024 13:15;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;21;Gas Oil Grado 3;2;Diurno;1050;7/2/2024 13:16;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;21;Gas Oil Grado 3;3;Nocturno;1050;7/2/2024 13:16;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;3;Nafta (premium) de más de 95 Ron;2;Diurno;806;7/2/2024 13:15;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;3;Nafta (premium) de más de 95 Ron;3;Nocturno;806;7/2/2024 13:15;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;646;7/2/2024 13:15;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;8943;30-71251168-7;1913 SRL;Julio A Roca 715;GOBERNADOR COSTA;CHUBUT;PATAGONIA;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;646;7/2/2024 13:15;28;PUMA;-44,050662;-70,583041;"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;19;Gas Oil Grado 2;2;Diurno;9350000;8/2/2024 08:54;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;19;Gas Oil Grado 2;3;Nocturno;9350000;8/2/2024 08:54;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;21;Gas Oil Grado 3;2;Diurno;10750000;8/2/2024 08:55;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;21;Gas Oil Grado 3;3;Nocturno;10750000;8/2/2024 08:55;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;3;Nafta (premium) de más de 95 Ron;2;Diurno;10450000;8/2/2024 09:13;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;3;Nafta (premium) de más de 95 Ron;3;Nocturno;10450000;8/2/2024 09:13;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;8780000;8/2/2024 08:56;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/2/2024;9764;30-71548931-3;25 ALVEAR S.R.L;9 Y 36 790;25 DE MAYO;BUENOS AIRES;;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;8780000;8/2/2024 08:56;4;SHELL C.A.P.S.A.;-35,425;-60,16962;"{""type"":""Point"",""coordinates"":[-60.16962,-35.425]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;19;Gas Oil Grado 2;2;Diurno;96500;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;19;Gas Oil Grado 2;3;Nocturno;96500;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;21;Gas Oil Grado 3;2;Diurno;114300;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;21;Gas Oil Grado 3;3;Nocturno;114300;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;6;GNC;2;Diurno;49940;2/3/2024 12:57;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;6;GNC;3;Nocturno;49940;2/3/2024 12:57;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;3;Nafta (premium) de más de 95 Ron;2;Diurno;110900;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;3;Nafta (premium) de más de 95 Ron;3;Nocturno;110900;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;90200;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/3/2024;1284;30-56342987-5;25 DE MAYO SRL (EESS);25 DE MAYO 675;VILLA MERCEDES;SAN LUIS;CUYO;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;90200;2/3/2024 00:00;2;YPF;-33,67954;-65,46988;"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;19;Gas Oil Grado 2;2;Diurno;686;27/12/2023 14:46;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;19;Gas Oil Grado 2;3;Nocturno;686;27/12/2023 14:46;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;21;Gas Oil Grado 3;2;Diurno;815;27/12/2023 14:45;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;21;Gas Oil Grado 3;3;Nocturno;815;27/12/2023 14:45;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;3;Nafta (premium) de más de 95 Ron;2;Diurno;786;27/12/2023 14:44;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;3;Nafta (premium) de más de 95 Ron;3;Nocturno;786;27/12/2023 14:44;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;646;27/12/2023 14:44;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/12/2023;9935;30-71595431-8;2MIL10Y7 SRL;Ruta 6 Km 155.500;LUJAN;BUENOS AIRES;;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;646;27/12/2023 14:44;4;SHELL C.A.P.S.A.;-34,557095;-59,035694;"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;19;Gas Oil Grado 2;2;Diurno;924;5/3/2024 09:42;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;19;Gas Oil Grado 2;3;Nocturno;924;5/3/2024 09:42;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;21;Gas Oil Grado 3;2;Diurno;1120;5/3/2024 09:42;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;21;Gas Oil Grado 3;3;Nocturno;1120;5/3/2024 09:42;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/2/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;6;GNC;2;Diurno;3399;23/2/2024 11:45;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/2/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;6;GNC;3;Nocturno;3399;23/2/2024 11:45;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;3;Nafta (premium) de más de 95 Ron;2;Diurno;1087;5/3/2024 09:43;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;3;Nafta (premium) de más de 95 Ron;3;Nocturno;1087;5/3/2024 09:43;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;887;5/3/2024 09:43;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;9405;30-71512545-1;2MIL 3C S.R.L.;AV. 101 Nº 6211 (RUTA 8);SAN MARTIN;BUENOS AIRES;;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;887;5/3/2024 09:43;28;PUMA;-34,561286;-58,588248;"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;19;Gas Oil Grado 2;2;Diurno;91200;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;19;Gas Oil Grado 2;3;Nocturno;91200;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;21;Gas Oil Grado 3;2;Diurno;109700;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;21;Gas Oil Grado 3;3;Nocturno;109700;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;3;Nafta (premium) de más de 95 Ron;2;Diurno;87100;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;3;Nafta (premium) de más de 95 Ron;3;Nocturno;87100;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;68600;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;10832;30-71763679-8;3GEN S.A;HIPOLITO YRIGOYEN 396;COMODORO RIVADAVIA;CHUBUT;;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;68600;2/3/2024 00:00;2;YPF;-45,864581;-67,479646;"{""type"":""Point"",""coordinates"":[-67.479646,-45.864581]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;19;Gas Oil Grado 2;2;Diurno;966;10/3/2024 19:19;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;19;Gas Oil Grado 2;3;Nocturno;966;10/3/2024 19:19;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;21;Gas Oil Grado 3;2;Diurno;1174;10/3/2024 19:18;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;21;Gas Oil Grado 3;3;Nocturno;1174;10/3/2024 19:18;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;3;Nafta (premium) de más de 95 Ron;2;Diurno;1117;10/3/2024 19:14;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;3;Nafta (premium) de más de 95 Ron;3;Nocturno;1117;10/3/2024 19:14;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;911;10/3/2024 19:18;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;7544;30-70944428-6;44 LA PLATA SRL;44 y 142 2281;LA PLATA;BUENOS AIRES;PAMPEANA;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;911;10/3/2024 19:18;4;SHELL C.A.P.S.A.;-34,94349;-57,991692;"{""type"":""Point"",""coordinates"":[-57.991692,-34.94349]}"
1/3/2024;2530;30-70833125-9;4 GNC  S.A.;LA QUEMADA 2189;FIRMAT;SANTA FE;CENTRO;19;Gas Oil Grado 2;2;Diurno;1080;7/3/2024 07:00;1;BLANCA;-33,46387;-61,49651;"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}"
1/3/2024;2530;30-70833125-9;4 GNC  S.A.;LA QUEMADA 2189;FIRMAT;SANTA FE;CENTRO;19;Gas Oil Grado 2;3;Nocturno;1080;7/3/2024 07:00;1;BLANCA;-33,46387;-61,49651;"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}"
1/3/2024;2530;30-70833125-9;4 GNC  S.A.;LA QUEMADA 2189;FIRMAT;SANTA FE;CENTRO;6;GNC;2;Diurno;495;7/3/2024 07:00;1;BLANCA;-33,46387;-61,49651;"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}"
1/3/2024;2530;30-70833125-9;4 GNC  S.A.;LA QUEMADA 2189;FIRMAT;SANTA FE;CENTRO;6;GNC;3;Nocturno;495;7/3/2024 07:00;1;BLANCA;-33,46387;-61,49651;"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}"
1/3/2024;2530;30-70833125-9;4 GNC  S.A.;LA QUEMADA 2189;FIRMAT;SANTA FE;CENTRO;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;1000;7/3/2024 07:00;1;BLANCA;-33,46387;-61,49651;"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}"
1/3/2024;2530;30-70833125-9;4 GNC  S.A.;LA QUEMADA 2189;FIRMAT;SANTA FE;CENTRO;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;1000;7/3/2024 07:00;1;BLANCA;-33,46387;-61,49651;"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}"
