churn,tenure_months,monthly_charges,total_services,support_calls_last90d,late_payments_12m,downtime_hrs_6m,contract,internet,payment_method,support_tier,promo_status
0,21.5,51.76,2,0,0,3.78,month-to-month,fiber,credit_card,premium,current
0,12.3,58.93,2,1,1,1.51,month-to-month,dsl,credit_card,basic,past
0,35.5,79.65,4,0,1,2.29,month-to-month,fiber,electronic_check,plus,past
1,3.1,83.16,3,2,1,2.88,one-year,fiber,electronic_check,basic,past
0,2.6,108.43,2,1,0,2.62,month-to-month,fiber,electronic_check,plus,never
0,35.2,39.9,0,2,0,1.42,month-to-month,none,credit_card,basic,past
0,11.5,51.41,2,3,1,4.92,one-year,dsl,credit_card,basic,never
0,8.4,48.81,3,0,1,2.78,month-to-month,fiber,electronic_check,plus,never
0,25.1,61.31,1,0,1,2.52,two-year,none,bank_transfer,premium,current
0,28.8,30.42,3,3,0,2.58,month-to-month,dsl,electronic_check,basic,past
0,14.5,48.6,3,1,0,3.16,one-year,fiber,electronic_check,plus,never
1,5.0,118.02,1,2,2,2.65,month-to-month,none,credit_card,basic,never
1,27.0,92.82,2,3,1,2.53,month-to-month,fiber,bank_transfer,basic,never
1,9.5,82.55,1,1,0,0.8,one-year,fiber,electronic_check,plus,never
0,10.2,97.25,3,1,0,1.48,month-to-month,dsl,electronic_check,plus,never
0,0.9,26.8,2,1,0,2.38,month-to-month,fiber,electronic_check,plus,past
0,26.8,86.31,4,2,0,1.12,month-to-month,dsl,credit_card,basic,past
0,2.2,106.78,3,0,0,3.0,month-to-month,dsl,electronic_check,premium,past
0,7.8,78.94,2,1,0,2.89,one-year,dsl,electronic_check,basic,current
0,7.2,44.25,2,0,0,2.58,month-to-month,dsl,electronic_check,plus,current
0,2.9,50.42,1,1,2,1.44,one-year,fiber,electronic_check,premium,never
0,17.7,31.62,3,2,2,3.24,two-year,fiber,electronic_check,plus,current
0,30.5,45.66,2,1,1,0.81,one-year,dsl,bank_transfer,basic,past
0,26.7,90.5,2,0,1,0.38,month-to-month,dsl,electronic_check,plus,never
0,9.1,88.97,0,3,2,0.27,month-to-month,none,electronic_check,basic,never
0,17.5,49.4,1,3,1,1.81,month-to-month,none,bank_transfer,basic,current
1,32.1,44.59,4,5,0,1.89,month-to-month,fiber,electronic_check,basic,never
0,34.5,85.73,3,2,2,3.59,two-year,fiber,credit_card,premium,never
0,2.3,27.74,0,1,1,1.59,two-year,none,electronic_check,premium,never
0,2.5,81.06,1,3,1,2.36,one-year,dsl,electronic_check,basic,never
0,1.2,98.86,1,0,0,2.66,month-to-month,none,credit_card,plus,past
0,16.2,46.03,1,0,0,1.77,one-year,dsl,credit_card,plus,past
0,52.4,75.43,3,2,0,2.54,month-to-month,dsl,electronic_check,basic,never
0,2.1,26.21,1,2,0,1.23,month-to-month,dsl,electronic_check,plus,past
1,33.7,79.92,2,6,0,1.01,month-to-month,fiber,bank_transfer,basic,never
0,31.7,66.11,2,3,0,1.41,one-year,fiber,electronic_check,plus,never
0,1.8,93.11,3,2,0,2.07,month-to-month,dsl,electronic_check,basic,current
0,10.4,97.46,2,1,1,3.9,month-to-month,fiber,credit_card,plus,never
0,14.0,49.4,2,2,1,1.76,month-to-month,fiber,electronic_check,basic,current
0,28.4,75.47,4,4,2,2.31,month-to-month,fiber,credit_card,basic,never
1,0.6,95.12,2,5,0,2.77,month-to-month,fiber,electronic_check,basic,never
0,45.7,62.77,2,1,0,1.95,month-to-month,none,credit_card,basic,past
1,11.0,90.17,3,1,0,2.84,month-to-month,dsl,bank_transfer,basic,past
1,6.9,76.4,2,3,0,3.2,month-to-month,fiber,electronic_check,plus,past
0,52.9,70.6,3,1,0,2.92,one-year,fiber,credit_card,basic,never
0,7.6,77.02,3,3,1,1.24,one-year,fiber,credit_card,premium,past
1,35.4,85.08,3,1,1,3.23,month-to-month,fiber,credit_card,basic,past
0,5.0,42.04,2,4,1,3.79,month-to-month,dsl,bank_transfer,plus,current
0,9.1,69.31,1,0,1,1.89,one-year,dsl,electronic_check,plus,past
1,41.4,88.22,2,4,0,3.93,two-year,fiber,electronic_check,basic,never
0,4.0,61.33,4,3,0,2.27,one-year,fiber,bank_transfer,basic,past
0,8.7,71.19,3,2,2,0.6,one-year,fiber,bank_transfer,basic,never
0,9.0,77.86,2,2,0,1.75,two-year,fiber,electronic_check,plus,never
0,64.5,58.39,2,2,0,0.67,month-to-month,fiber,credit_card,basic,never
0,18.5,69.0,3,1,1,1.05,two-year,dsl,bank_transfer,plus,current
0,10.2,54.54,1,2,1,1.15,month-to-month,dsl,credit_card,basic,past
0,7.2,55.35,3,1,1,2.32,month-to-month,fiber,bank_transfer,basic,never
0,14.3,89.33,1,1,0,3.07,one-year,fiber,bank_transfer,basic,past
0,7.4,77.36,1,4,1,2.71,one-year,fiber,credit_card,premium,current
0,37.5,76.93,2,0,1,0.99,month-to-month,dsl,electronic_check,plus,never
1,38.4,84.88,0,3,0,4.12,one-year,none,electronic_check,basic,never
0,7.9,84.69,2,3,1,0.6,month-to-month,fiber,electronic_check,basic,never
0,5.1,110.01,2,5,0,2.86,month-to-month,fiber,bank_transfer,basic,past
0,25.7,77.91,2,4,2,2.43,one-year,none,electronic_check,basic,never
0,4.4,60.98,1,3,1,3.87,month-to-month,dsl,electronic_check,basic,never
0,2.6,115.69,2,1,1,1.42,month-to-month,none,electronic_check,plus,past
0,25.0,88.7,3,3,0,2.75,one-year,fiber,electronic_check,basic,never
0,19.3,68.32,3,2,0,3.58,one-year,fiber,credit_card,plus,never
0,3.7,44.58,0,1,0,0.77,one-year,none,credit_card,basic,past
1,29.2,69.03,0,3,2,1.49,month-to-month,none,electronic_check,basic,never
0,1.6,62.65,2,3,0,3.07,month-to-month,fiber,bank_transfer,basic,never
0,5.4,80.74,2,3,0,2.83,month-to-month,fiber,credit_card,basic,past
0,19.4,80.76,3,3,0,3.02,month-to-month,fiber,electronic_check,basic,never
0,18.6,120.72,2,1,0,4.18,month-to-month,fiber,bank_transfer,basic,current
1,24.2,78.78,2,4,0,0.0,month-to-month,dsl,credit_card,basic,never
0,2.8,62.68,2,2,1,0.55,one-year,dsl,bank_transfer,plus,current
0,38.5,46.22,3,2,0,3.25,two-year,dsl,credit_card,basic,current
0,6.2,79.99,3,4,0,2.08,month-to-month,none,electronic_check,basic,never
0,22.5,59.87,2,0,0,3.97,month-to-month,fiber,credit_card,plus,never
0,46.5,66.19,0,4,1,0.72,one-year,none,bank_transfer,basic,current
0,14.0,44.32,2,2,1,4.12,month-to-month,fiber,bank_transfer,basic,current
1,1.2,106.04,2,3,0,3.25,month-to-month,dsl,credit_card,basic,past
0,5.4,95.86,3,2,1,2.58,month-to-month,fiber,credit_card,basic,never
0,21.4,70.55,2,3,0,1.94,month-to-month,fiber,credit_card,basic,past
0,0.8,45.24,2,3,0,3.37,one-year,fiber,credit_card,basic,never
0,2.2,114.99,3,0,1,2.84,two-year,fiber,electronic_check,plus,never
0,24.2,44.84,1,3,2,3.01,month-to-month,dsl,bank_transfer,plus,current
1,12.3,98.56,2,2,0,2.98,month-to-month,none,credit_card,basic,past
0,19.8,64.52,3,2,0,2.58,one-year,dsl,credit_card,basic,never
0,0.1,33.18,1,2,0,1.09,two-year,fiber,bank_transfer,basic,never
0,39.6,12.22,3,2,0,4.24,month-to-month,fiber,bank_transfer,basic,never
0,4.3,38.14,0,5,1,0.49,month-to-month,none,electronic_check,basic,current
0,7.8,94.13,2,3,0,3.69,two-year,fiber,electronic_check,basic,past
0,13.5,23.12,2,3,1,3.64,two-year,dsl,credit_card,premium,current
0,0.8,95.41,2,1,0,1.61,month-to-month,fiber,electronic_check,basic,past
1,1.1,110.36,2,3,2,3.76,month-to-month,fiber,electronic_check,plus,past
0,36.6,38.67,2,3,1,2.78,one-year,none,credit_card,basic,never
0,0.2,65.12,1,3,1,3.3,one-year,fiber,electronic_check,plus,never
0,10.2,83.03,3,0,1,0.96,month-to-month,dsl,electronic_check,plus,past
0,12.3,85.33,1,2,0,5.32,one-year,fiber,credit_card,basic,never
1,13.6,70.72,1,3,2,2.43,one-year,fiber,electronic_check,basic,never
1,10.4,76.99,3,5,0,2.01,month-to-month,fiber,electronic_check,basic,past
0,43.8,103.97,1,3,0,1.64,month-to-month,none,electronic_check,plus,past
1,18.7,68.72,1,6,0,2.99,month-to-month,fiber,credit_card,basic,past
0,34.9,18.13,0,4,1,4.16,month-to-month,none,electronic_check,basic,past
0,12.2,80.94,1,5,1,2.29,one-year,dsl,credit_card,basic,never
0,19.2,74.74,2,1,0,3.96,month-to-month,fiber,electronic_check,plus,never
0,0.5,45.48,2,2,0,0.6,month-to-month,fiber,bank_transfer,plus,current
0,8.3,75.77,2,1,1,3.47,month-to-month,fiber,bank_transfer,basic,current
1,20.9,91.19,3,2,1,2.65,month-to-month,dsl,electronic_check,plus,past
0,23.9,63.33,1,3,3,1.94,month-to-month,dsl,bank_transfer,basic,past
0,45.3,65.17,1,0,1,2.62,month-to-month,dsl,bank_transfer,plus,never
0,29.2,44.27,1,2,2,1.0,month-to-month,fiber,bank_transfer,plus,never
0,0.9,130.47,2,3,0,3.11,one-year,fiber,credit_card,basic,past
1,12.3,65.87,3,1,3,3.84,month-to-month,dsl,electronic_check,plus,never
0,10.2,96.7,3,6,1,2.66,month-to-month,dsl,bank_transfer,basic,past
0,4.4,89.61,2,1,0,3.4,month-to-month,dsl,electronic_check,plus,past
0,22.1,108.36,1,3,0,3.87,month-to-month,fiber,electronic_check,basic,current
0,60.8,62.84,2,0,1,1.81,two-year,dsl,credit_card,plus,never
0,3.1,93.28,2,4,0,2.1,two-year,fiber,bank_transfer,basic,past
0,19.5,52.67,1,2,0,2.41,month-to-month,fiber,bank_transfer,basic,never
0,7.4,116.04,3,4,2,2.38,month-to-month,dsl,electronic_check,basic,past
0,10.4,85.3,2,2,1,3.98,one-year,dsl,electronic_check,basic,past
0,3.4,71.45,1,2,1,2.6,two-year,fiber,electronic_check,basic,never
0,41.9,53.63,0,2,0,3.1,month-to-month,none,electronic_check,basic,never
0,3.6,54.63,2,3,2,4.93,one-year,fiber,bank_transfer,basic,past
0,15.9,54.99,2,3,0,2.88,two-year,fiber,electronic_check,basic,current
0,21.4,65.82,3,4,1,2.97,month-to-month,dsl,bank_transfer,basic,never
0,7.4,20.06,1,2,1,3.78,two-year,fiber,electronic_check,basic,never
1,40.1,111.83,2,4,0,0.01,month-to-month,dsl,electronic_check,basic,past
0,4.5,94.39,1,4,1,0.6,month-to-month,fiber,bank_transfer,plus,never
0,8.3,55.94,2,1,0,2.94,month-to-month,none,electronic_check,plus,never
1,19.8,91.35,2,2,2,5.35,month-to-month,fiber,bank_transfer,basic,current
0,22.1,66.34,2,4,1,2.4,two-year,fiber,electronic_check,plus,never
0,12.9,93.01,3,2,0,1.44,month-to-month,fiber,bank_transfer,plus,current
1,39.7,63.89,2,0,1,1.87,one-year,fiber,electronic_check,premium,current
0,20.0,60.94,2,1,0,0.92,month-to-month,fiber,electronic_check,plus,current
0,21.7,21.58,2,1,0,1.48,month-to-month,fiber,electronic_check,plus,never
0,10.5,37.94,2,2,0,2.43,month-to-month,fiber,credit_card,basic,current
0,57.8,118.85,4,3,2,2.68,month-to-month,fiber,credit_card,basic,current
0,18.2,76.2,3,1,0,3.6,month-to-month,none,electronic_check,basic,never
0,1.5,32.68,1,1,1,1.29,month-to-month,none,electronic_check,premium,past
0,30.6,119.45,2,1,0,0.95,month-to-month,dsl,credit_card,basic,past
0,5.8,82.0,1,4,1,2.45,one-year,none,electronic_check,basic,never
1,3.3,116.52,2,1,0,2.98,month-to-month,fiber,bank_transfer,plus,never
0,14.3,90.04,0,1,2,2.72,month-to-month,none,bank_transfer,premium,past
0,1.5,64.09,0,1,0,2.14,month-to-month,none,bank_transfer,basic,past
0,0.3,31.75,3,2,0,1.81,month-to-month,dsl,electronic_check,basic,current
0,20.4,69.68,3,1,0,4.32,month-to-month,fiber,electronic_check,basic,current
0,22.6,45.83,2,1,0,2.69,two-year,fiber,electronic_check,premium,never
0,13.3,49.81,1,1,0,1.09,one-year,dsl,bank_transfer,premium,current
0,41.2,95.74,1,3,0,2.44,month-to-month,fiber,electronic_check,basic,never
0,17.0,25.0,2,2,0,1.96,month-to-month,fiber,electronic_check,plus,current
1,17.8,79.86,2,2,1,6.21,month-to-month,fiber,bank_transfer,basic,never
0,22.1,58.65,4,1,1,3.33,month-to-month,fiber,electronic_check,plus,never
1,29.5,92.97,2,2,2,0.6,month-to-month,fiber,bank_transfer,plus,never
0,11.0,35.68,2,4,1,3.35,month-to-month,fiber,electronic_check,basic,past
0,64.9,56.48,2,2,0,4.04,two-year,dsl,electronic_check,plus,past
0,11.9,126.62,1,4,0,1.4,month-to-month,none,bank_transfer,basic,past
0,18.6,108.03,2,1,1,0.78,one-year,fiber,electronic_check,plus,past
0,41.4,54.08,0,2,1,1.55,month-to-month,none,credit_card,basic,never
0,1.9,113.15,3,0,0,1.86,one-year,fiber,bank_transfer,plus,never
0,8.0,28.24,1,1,0,3.52,month-to-month,fiber,electronic_check,plus,never
0,4.1,34.85,2,0,0,3.67,one-year,fiber,credit_card,plus,never
0,17.8,48.54,2,3,0,3.4,two-year,fiber,credit_card,basic,never
0,10.9,33.7,4,4,0,2.53,month-to-month,dsl,electronic_check,basic,current
0,21.9,69.43,2,4,0,3.61,month-to-month,dsl,electronic_check,plus,past
0,40.4,69.95,2,1,1,2.64,one-year,fiber,electronic_check,plus,never
0,7.6,88.55,1,1,0,2.7,one-year,dsl,electronic_check,plus,never
0,28.7,48.12,3,3,1,2.98,one-year,fiber,credit_card,basic,past
0,0.6,89.07,1,4,0,2.81,month-to-month,fiber,electronic_check,plus,never
0,18.8,27.01,4,3,0,2.65,two-year,dsl,electronic_check,basic,past
0,9.7,45.63,1,2,1,1.05,two-year,dsl,electronic_check,basic,never
1,4.5,86.76,3,0,1,2.62,month-to-month,fiber,electronic_check,plus,never
0,6.7,53.77,2,0,2,1.68,month-to-month,fiber,electronic_check,plus,past
0,22.7,55.8,1,3,0,1.74,month-to-month,dsl,credit_card,premium,current
0,18.7,64.07,1,1,0,2.09,two-year,dsl,electronic_check,basic,past
1,24.8,100.74,1,2,0,2.58,one-year,fiber,electronic_check,basic,past
0,23.3,83.6,3,3,2,5.24,one-year,fiber,electronic_check,basic,current
0,39.6,41.84,2,1,2,1.46,one-year,dsl,bank_transfer,premium,past
0,5.0,68.14,3,3,0,2.42,month-to-month,dsl,credit_card,basic,never
0,23.5,88.62,1,3,0,3.18,month-to-month,fiber,electronic_check,basic,past
0,3.8,92.8,3,1,0,3.5,month-to-month,fiber,electronic_check,basic,past
1,4.4,52.27,3,3,1,1.57,month-to-month,dsl,bank_transfer,basic,current
1,12.1,84.3,1,2,0,4.49,month-to-month,fiber,electronic_check,basic,never
0,3.1,44.61,1,5,1,1.75,two-year,dsl,electronic_check,basic,never
0,2.6,120.79,3,1,0,4.44,month-to-month,fiber,electronic_check,basic,current
0,13.2,68.5,1,2,1,3.1,month-to-month,fiber,electronic_check,basic,never
1,2.0,111.01,3,2,1,3.36,month-to-month,fiber,electronic_check,premium,past
0,31.5,56.83,2,3,0,0.59,one-year,dsl,credit_card,basic,never
0,7.2,76.28,2,3,0,3.41,one-year,fiber,electronic_check,basic,never
0,12.4,80.11,2,3,1,0.21,one-year,dsl,electronic_check,plus,never
0,5.4,79.17,0,2,0,0.92,month-to-month,none,electronic_check,plus,past
0,0.8,71.79,2,2,1,3.65,one-year,dsl,electronic_check,premium,past
1,4.5,103.86,3,1,1,1.51,month-to-month,fiber,electronic_check,plus,never
0,39.6,50.35,1,4,0,1.84,one-year,dsl,credit_card,plus,past
0,10.8,112.14,2,0,0,1.43,month-to-month,none,electronic_check,plus,past
0,10.8,50.34,3,3,0,2.08,month-to-month,fiber,bank_transfer,basic,current
0,22.2,55.76,1,3,1,1.05,month-to-month,none,credit_card,basic,never
0,19.9,63.84,3,2,0,3.0,one-year,fiber,bank_transfer,plus,current
1,19.8,60.04,4,3,1,4.37,month-to-month,fiber,electronic_check,basic,never
0,8.2,41.59,1,2,1,0.6,one-year,fiber,electronic_check,basic,never
0,4.8,58.02,2,0,0,3.13,month-to-month,dsl,credit_card,premium,past
1,37.4,80.26,1,4,0,4.72,two-year,fiber,electronic_check,basic,past
0,13.3,48.24,3,1,0,2.6,one-year,dsl,credit_card,basic,past
0,5.8,63.64,1,4,0,0.52,month-to-month,none,electronic_check,basic,current
0,3.5,68.43,2,1,0,1.5,one-year,dsl,electronic_check,basic,never
0,1.4,81.17,1,1,1,3.04,month-to-month,dsl,electronic_check,plus,current
1,31.1,121.58,2,2,0,1.33,one-year,fiber,electronic_check,plus,past
0,10.9,93.86,3,2,0,2.69,month-to-month,dsl,electronic_check,basic,never
1,23.6,88.27,1,2,0,1.07,month-to-month,fiber,electronic_check,basic,past
0,0.8,57.22,2,3,0,2.15,two-year,dsl,electronic_check,basic,past
0,13.2,43.3,2,2,0,1.71,month-to-month,dsl,electronic_check,basic,past
0,7.9,43.57,1,1,0,0.42,month-to-month,dsl,electronic_check,basic,current
0,3.0,77.18,3,1,1,3.29,month-to-month,fiber,electronic_check,basic,never
1,60.3,78.09,0,2,1,1.34,month-to-month,none,bank_transfer,basic,past
0,27.3,80.34,2,2,0,2.55,one-year,none,electronic_check,basic,current
1,4.8,110.79,2,1,2,3.02,month-to-month,fiber,bank_transfer,plus,never
0,9.1,84.12,3,3,0,1.33,two-year,dsl,electronic_check,basic,past
1,11.5,117.94,3,4,1,3.47,month-to-month,dsl,electronic_check,basic,never
0,14.2,37.58,3,3,0,2.03,month-to-month,fiber,bank_transfer,basic,never
0,35.7,48.3,2,3,0,4.0,two-year,fiber,bank_transfer,basic,never
0,3.8,78.32,3,1,1,2.61,month-to-month,fiber,credit_card,basic,never
0,10.3,72.08,1,4,0,3.62,month-to-month,none,electronic_check,basic,past
0,5.9,92.19,1,5,1,2.21,one-year,fiber,electronic_check,basic,never
0,18.3,102.35,2,3,1,1.73,month-to-month,dsl,electronic_check,basic,past
0,9.1,99.77,1,2,1,0.0,month-to-month,dsl,electronic_check,plus,past
0,4.9,98.18,0,4,0,3.92,two-year,none,electronic_check,plus,past
0,5.3,103.02,2,1,1,2.31,month-to-month,dsl,bank_transfer,plus,never
0,19.1,77.99,3,0,0,1.91,two-year,dsl,bank_transfer,premium,past
0,29.9,34.87,2,2,0,1.0,one-year,fiber,credit_card,plus,never
0,4.4,40.85,2,1,0,3.77,month-to-month,fiber,credit_card,basic,never
0,2.6,106.08,2,1,0,0.6,month-to-month,fiber,electronic_check,plus,past
1,8.9,84.87,2,0,1,1.88,month-to-month,none,electronic_check,plus,past
0,0.3,71.27,2,5,0,0.69,two-year,fiber,electronic_check,plus,past
0,38.5,80.67,3,1,0,0.58,month-to-month,dsl,credit_card,basic,never
1,12.9,95.26,3,1,2,1.65,month-to-month,dsl,electronic_check,premium,current
0,69.0,49.8,3,1,0,4.92,month-to-month,fiber,bank_transfer,plus,past
0,36.7,15.68,1,5,0,1.9,two-year,fiber,electronic_check,basic,never
0,13.4,57.42,2,0,1,0.69,month-to-month,dsl,bank_transfer,premium,past
0,36.2,78.83,2,4,0,3.81,one-year,fiber,credit_card,basic,past
0,31.2,103.45,1,0,0,0.88,month-to-month,dsl,electronic_check,plus,current
0,7.1,87.02,2,1,0,2.58,two-year,dsl,bank_transfer,plus,never
0,16.2,111.83,2,2,0,4.08,month-to-month,dsl,bank_transfer,basic,never
0,3.2,68.89,2,3,0,2.43,month-to-month,dsl,credit_card,basic,past
0,25.5,72.17,1,1,0,2.23,two-year,dsl,electronic_check,basic,past
1,60.7,95.13,1,2,0,2.35,month-to-month,fiber,credit_card,basic,current
0,8.6,100.76,3,0,1,2.61,one-year,fiber,electronic_check,plus,past
0,56.4,75.34,2,2,1,2.24,month-to-month,fiber,credit_card,basic,never
0,60.9,45.68,3,1,1,1.89,month-to-month,fiber,electronic_check,plus,current
0,6.0,82.82,2,2,0,2.71,month-to-month,dsl,electronic_check,plus,never
0,4.5,23.06,1,1,1,1.6,month-to-month,none,credit_card,basic,current
0,25.6,48.54,1,3,0,2.69,month-to-month,dsl,electronic_check,basic,past
1,7.2,128.24,2,5,1,1.75,month-to-month,dsl,credit_card,basic,past
0,72.0,66.08,2,1,2,0.0,month-to-month,dsl,bank_transfer,premium,past
0,70.5,61.44,2,3,0,3.92,two-year,fiber,electronic_check,plus,past
0,2.2,84.33,2,1,0,1.53,month-to-month,dsl,credit_card,basic,never
0,4.3,66.28,2,2,1,2.76,month-to-month,none,credit_card,basic,current
0,2.1,27.61,2,3,0,1.44,month-to-month,fiber,electronic_check,basic,never
1,4.5,103.73,2,1,1,3.72,month-to-month,fiber,electronic_check,plus,past
0,6.5,57.76,1,3,0,2.56,one-year,none,credit_card,basic,never
0,22.2,56.7,2,2,1,0.0,two-year,dsl,electronic_check,plus,never
0,63.3,33.8,1,4,0,1.09,month-to-month,dsl,electronic_check,basic,never
0,4.6,44.05,1,2,2,1.97,month-to-month,none,electronic_check,basic,never
1,0.1,81.17,0,3,1,2.03,two-year,none,bank_transfer,basic,never
1,24.7,53.99,3,2,0,2.06,month-to-month,fiber,electronic_check,basic,current
0,4.4,38.16,3,1,0,3.22,month-to-month,fiber,credit_card,plus,never
0,22.9,59.46,1,0,1,1.01,month-to-month,dsl,electronic_check,premium,past
0,34.4,67.34,4,2,0,4.38,two-year,fiber,bank_transfer,plus,past
0,33.9,61.69,4,0,0,1.53,one-year,dsl,electronic_check,plus,current
1,13.4,94.37,1,2,0,0.76,month-to-month,dsl,electronic_check,basic,current
1,16.6,96.97,1,1,0,3.53,month-to-month,fiber,electronic_check,plus,past
0,20.5,27.49,0,1,0,2.24,one-year,none,credit_card,premium,current
0,8.1,71.39,3,4,0,0.0,two-year,dsl,credit_card,basic,past
0,37.6,49.52,2,0,0,0.6,two-year,fiber,electronic_check,plus,never
0,18.7,88.07,2,1,2,0.7,one-year,dsl,credit_card,plus,never
1,4.1,88.14,3,1,1,3.87,month-to-month,fiber,electronic_check,basic,current
1,10.1,78.58,3,1,0,2.19,month-to-month,dsl,electronic_check,basic,past
1,4.2,72.87,1,2,1,1.35,month-to-month,none,credit_card,basic,past
1,11.6,65.48,3,2,1,3.14,month-to-month,fiber,electronic_check,basic,never
0,1.8,32.42,3,0,1,3.29,one-year,fiber,bank_transfer,plus,past
0,11.2,42.87,2,2,0,1.94,month-to-month,none,electronic_check,basic,current
0,2.7,105.03,3,2,1,0.6,one-year,fiber,credit_card,premium,current
1,6.2,67.98,2,3,0,2.91,month-to-month,fiber,bank_transfer,basic,past
0,11.6,85.71,2,2,2,3.23,one-year,fiber,bank_transfer,basic,current
0,13.3,119.62,3,2,2,2.63,month-to-month,fiber,electronic_check,plus,past
0,5.6,73.0,2,3,0,2.69,month-to-month,fiber,electronic_check,basic,never
1,72.0,109.43,3,5,0,2.58,month-to-month,fiber,electronic_check,basic,current
0,37.8,82.56,2,1,0,3.17,month-to-month,fiber,credit_card,plus,current
0,28.9,75.66,1,2,2,3.85,two-year,fiber,bank_transfer,basic,current
0,5.5,123.46,2,2,2,1.16,month-to-month,dsl,credit_card,plus,never
0,4.0,57.49,2,2,1,1.27,two-year,dsl,electronic_check,basic,current
0,47.8,82.65,2,0,2,2.83,month-to-month,dsl,electronic_check,plus,past
0,14.1,40.16,4,3,0,2.59,month-to-month,fiber,bank_transfer,plus,past
0,41.6,47.8,1,2,0,1.85,one-year,fiber,bank_transfer,plus,never
0,1.8,71.65,2,2,1,2.5,month-to-month,dsl,electronic_check,basic,past
0,63.6,40.66,1,3,0,2.72,one-year,fiber,electronic_check,basic,current
0,12.8,84.88,2,1,1,2.35,month-to-month,fiber,bank_transfer,plus,never
0,15.9,90.99,2,3,2,0.0,one-year,dsl,electronic_check,plus,never
1,1.2,90.97,2,2,2,2.5,month-to-month,dsl,bank_transfer,basic,never
0,33.3,84.93,0,2,1,3.89,month-to-month,none,electronic_check,basic,never
0,28.7,33.69,3,2,2,2.49,two-year,fiber,electronic_check,plus,never
0,72.0,61.59,4,2,0,1.81,month-to-month,fiber,electronic_check,basic,current
1,8.4,88.82,2,2,1,3.78,one-year,fiber,bank_transfer,basic,never
1,0.5,58.62,2,2,0,3.52,one-year,fiber,electronic_check,basic,past
0,3.5,63.46,3,1,0,4.81,month-to-month,fiber,credit_card,basic,past
0,28.3,88.44,1,2,2,3.0,one-year,dsl,electronic_check,plus,past
1,26.6,84.49,2,1,3,3.12,two-year,fiber,electronic_check,basic,past
